,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
0,JTMAB3FV3P,Kitsap,Seabeck,WA,98380.0,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,35.0,240684006,POINT (-122.8728334 47.5798304),PUGET SOUND ENERGY INC,53035091301.0
1,1N4AZ1CP6J,Kitsap,Bremerton,WA,98312.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,35.0,474183811,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700.0
2,5YJ3E1EA4L,King,Seattle,WA,98101.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,43.0,113120017,POINT (-122.3340795 47.6099315),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302.0
3,1N4AZ0CP8E,King,Seattle,WA,98125.0,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,46.0,108188713,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000700.0
4,1G1FX6S00H,Thurston,Yelm,WA,98597.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,20.0,176448940,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012510.0
5,5YJYGDEE5L,Snohomish,Lynnwood,WA,98036.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,21.0,124511187,POINT (-122.287143 47.812199),PUGET SOUND ENERGY INC,53061051922.0
6,KM8S6DA23N,Kitsap,Poulsbo,WA,98370.0,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31.0,0.0,23.0,212217764,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100.0
7,7FCTGAAA1P,Snohomish,Arlington,WA,98223.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,39.0,252414039,POINT (-122.11597 48.194109),PUGET SOUND ENERGY INC,53061053507.0
8,5YJYGDEE9L,King,Kent,WA,98031.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,47.0,112668510,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405.0
9,1N4AZ0CP2F,King,Kirkland,WA,98034.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,45.0,109765204,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904.0
10,1G1FX6S0XH,Kitsap,Bremerton,WA,98337.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,26.0,204952947,POINT (-122.632139 47.569172),PUGET SOUND ENERGY INC,53035081200.0
11,1FADP3R40D,Thurston,Tumwater,WA,98501.0,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76.0,0.0,35.0,230763249,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720.0
12,KNDJX3AE8G,Yakima,Yakima,WA,98908.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,14.0,169289970,POINT (-120.611068 46.596645),PACIFICORP,53077000402.0
13,1G1RB6S50J,Thurston,Centralia,WA,98531.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,0.0,20.0,114316583,POINT (-122.9735677 46.7269138),PUGET SOUND ENERGY INC,53067012720.0
14,WAUSPBFF2H,King,Seattle,WA,98117.0,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,0.0,36.0,172400287,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500.0
15,1N4AZ0CPXD,Snohomish,Lynnwood,WA,98087.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,21.0,135949166,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703.0
16,ZACPDFCW7R,Thurston,Olympia,WA,98512.0,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,35.0,262513982,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011821.0
17,5YJSA1E27J,King,Kirkland,WA,98034.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,0.0,1.0,219561982,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022204.0
18,5YJ3E1EB7J,King,Issaquah,WA,98027.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,5.0,474096521,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104.0
19,5YJ3E1EA6J,King,Duvall,WA,98019.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,45.0,179482110,POINT (-121.956372 47.735604),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402.0
20,1G1RD6E46C,Thurston,Olympia,WA,98506.0,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35.0,0.0,22.0,244376989,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200.0
21,WBY1Z8C59H,King,Seattle,WA,98102.0,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,0.0,43.0,118331314,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600.0
22,KNDCE3LG5K,Snohomish,Lake Stevens,WA,98258.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,0.0,44.0,477850432,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052505.0
23,5YJ3E1EA2J,Yakima,Yakima,WA,98902.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,14.0,269374108,POINT (-120.530331 46.59534),PACIFICORP,53077000500.0
24,5YJ3E1EA0J,Thurston,Olympia,WA,98501.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,22.0,331964958,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700.0
25,WVWKP7AU1G,Yakima,Selah,WA,98942.0,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,0.0,15.0,117117773,POINT (-120.5517376 46.6678647),PACIFICORP,53077003400.0
26,5YJSA1DP4D,Yakima,Zillah,WA,98953.0,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,15.0,161861780,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201.0
27,5YJ3E1EB7J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,1.0,260884417,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051922.0
28,1N4AZ1CP7J,Snohomish,Bothell,WA,98021.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,1.0,476219747,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937.0
29,1N4BZ0CP7H,Kitsap,Kingston,WA,98346.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,0.0,23.0,103841069,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102.0
30,KNDPYDDH2R,Kitsap,Poulsbo,WA,98370.0,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34.0,0.0,23.0,264705717,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202.0
31,5UXTS1C04M,Kitsap,Bremerton,WA,98312.0,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17.0,0.0,35.0,256164387,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080600.0
32,5YJ3E1EA2L,Thurston,Olympia,WA,98502.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,22.0,2033202,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011100.0
33,5YJ3E1EA3K,Kitsap,Bremerton,WA,98311.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,23.0,478140960,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091800.0
34,5YJSA1H28F,King,Seattle,WA,98122.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,0.0,37.0,112448528,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800.0
35,1G1FZ6S08K,Snohomish,Bothell,WA,98021.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,1.0,255278495,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937.0
36,KNDCE3LG2K,Thurston,Olympia,WA,98501.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,0.0,22.0,100808571,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700.0
37,5YJXCAE25J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,1.0,185429618,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009.0
38,5YJ3E1EA2K,King,Seattle,WA,98103.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,43.0,478171774,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004901.0
39,1N4AZ0CP9D,Kitsap,Port Orchard,WA,98367.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,26.0,207343356,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092801.0
40,5UX43EU02S,King,Seattle,WA,98199.0,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40.0,0.0,36.0,271315201,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700.0
41,JTDKARFP2H,Yakima,Yakima,WA,98902.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,14.0,115760025,POINT (-120.530331 46.59534),PACIFICORP,53077000800.0
42,KNDC3DLC1N,Thurston,Tumwater,WA,98512.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,22.0,194918020,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010920.0
43,5YJSA1H10E,Kitsap,Port Orchard,WA,98366.0,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,26.0,127169892,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092500.0
44,JA4J24A59K,Thurston,Lacey,WA,98503.0,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.0,0.0,2.0,227429247,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628.0
45,5YJ3E1EA0K,Thurston,Olympia,WA,98501.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,22.0,254852272,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100.0
46,JTDKARFP3K,Thurston,Olympia,WA,98501.0,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,0.0,22.0,289260751,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010400.0
47,KNDCC3LG1L,King,Seattle,WA,98144.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,0.0,37.0,167268643,POINT (-122.3016563 47.5858977),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000.0
48,7G2CEHEDXR,Thurston,Tumwater,WA,98501.0,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,35.0,269535332,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720.0
49,1G1FZ6S09K,Kitsap,Hansville,WA,98340.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,23.0,335586212,POINT (-122.5638082 47.8995458),PUGET SOUND ENERGY INC,53035090101.0
50,5YJ3E1EB1J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,48.0,263124991,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803.0
51,5UXKT0C57J,Kitsap,Poulsbo,WA,98370.0,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13.0,0.0,23.0,252602409,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502.0
52,YV4ED3UA3N,Kitsap,Poulsbo,WA,98370.0,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,23.0,220494291,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202.0
53,JN1AZ0CPXB,King,Bellevue,WA,98008.0,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73.0,0.0,48.0,196299190,POINT (-122.1197677 47.6103472),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901.0
54,3C3CFFGE0F,King,Seattle,WA,98133.0,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,0.0,36.0,476382700,POINT (-122.342434 47.736655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001701.0
55,1N4AZ0CPXG,King,Seattle,WA,98119.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,36.0,178146916,POINT (-122.36731 47.6377681),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902.0
56,5YJ3E1EA3L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,0.0,1.0,7920097,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051934.0
57,1N4AZ1CP3J,Thurston,Olympia,WA,98501.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,22.0,474204888,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010400.0
58,1N4BZ0CP3H,Kitsap,Bremerton,WA,98310.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,0.0,23.0,227492128,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080200.0
59,1N4BZ0CPXG,King,Seattle,WA,98117.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,36.0,257926210,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001701.0
60,1G1FY6S02L,Kitsap,Port Orchard,WA,98366.0,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259.0,0.0,26.0,261859482,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092200.0
61,5YJSA1E23G,Thurston,Olympia,WA,98501.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,20.0,240298572,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067012610.0
62,JN1AZ0CP0B,King,Seattle,WA,98115.0,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73.0,0.0,46.0,206768866,POINT (-122.3008235 47.6862671),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033004102.0
63,1N4AZ0CPXD,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,23.0,2695108,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201.0
64,5YJ3E1EB9J,Snohomish,Everett,WA,98208.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,44.0,291161685,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041701.0
65,5YJ3E1EA5K,Island,Oak Harbor,WA,98277.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,10.0,477312496,POINT (-122.6447164 48.3015146),PUGET SOUND ENERGY INC,53029970602.0
66,5YJSA1E27J,Kitsap,Bainbridge Island,WA,98110.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,0.0,23.0,118077718,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090902.0
67,1N4AZ1CP5J,King,Seattle,WA,98136.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,34.0,442005770,POINT (-122.3894209 47.5407358),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011602.0
68,JM3KKDHA1R,Thurston,Olympia,WA,98512.0,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,0.0,35.0,269302449,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000.0
69,1N4AZ0CP5F,Thurston,Olympia,WA,98512.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,35.0,187027753,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000.0
70,KNDCR3L11P,Thurston,Olympia,WA,98502.0,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,22.0,221481172,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520.0
71,5YJSA1E22H,Thurston,Olympia,WA,98501.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,22.0,105283265,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100.0
72,KNDRMDLH6R,Thurston,Olympia,WA,98502.0,2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,0.0,35.0,266701151,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902.0
73,5YJ3E1EB7K,Snohomish,Bothell,WA,98012.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,1.0,326536941,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107.0
74,5UXTA6C08P,King,Seattle,WA,98112.0,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30.0,0.0,43.0,218507348,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
75,1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107.0,0.0,23.0,167129224,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502.0
76,1N4AZ0CP1D,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,23.0,114489623,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035940000.0
77,5YJ3E1EB5L,Snohomish,Mountlake Terrace,WA,98043.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,0.0,1.0,6293899,POINT (-122.306706 47.792043),PUGET SOUND ENERGY INC,53061051302.0
78,5YJSA1E21G,Snohomish,Bothell,WA,98021.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,1.0,183793417,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051938.0
79,JA4T5WA9XR,Snohomish,Mukilteo,WA,98275.0,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,0.0,21.0,264363991,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042006.0
80,5YJXCDE20H,Thurston,Olympia,WA,98502.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,0.0,22.0,114465207,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067012001.0
81,1N4AZ1CPXJ,Kitsap,Bremerton,WA,98311.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,0.0,23.0,309406415,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091900.0
82,1N4AZ0CP6D,King,Seattle,WA,98107.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,0.0,43.0,100938848,POINT (-122.3788863 47.6702397),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.0
83,KNDCE3LG1K,Thurston,Olympia,WA,98512.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239.0,0.0,35.0,102638791,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011822.0
84,5YJ3E1EBXL,Thurston,Lacey,WA,98516.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,0.0,22.0,6045707,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012225.0
85,5YJSA1E2XG,King,Kirkland,WA,98034.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,1.0,348246412,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
86,5YJ3E1EA2J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,48.0,308823672,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606.0
87,5YJXCAE20L,Snohomish,Bothell,WA,98021.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293.0,0.0,1.0,103276239,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051926.0
88,1N4AZ0CP6F,King,Seattle,WA,98117.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,0.0,36.0,117532845,POINT (-122.377938 47.690166),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702.0
89,1N4AZ1CP3K,Snohomish,Everett,WA,98208.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150.0,0.0,44.0,474844303,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041607.0
90,WBY8P8C51K,Skagit,Anacortes,WA,98221.0,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126.0,0.0,40.0,6392851,POINT (-122.6330168 48.4948674),PUGET SOUND ENERGY INC,53057940301.0
91,5YJ3E1EA6J,Kitsap,Poulsbo,WA,98370.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,23.0,111686263,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201.0
92,5YJ3E1EB5J,Kitsap,Poulsbo,WA,98370.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,23.0,142481209,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090202.0
93,5YJ3E1EBXK,Yakima,Zillah,WA,98953.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,0.0,15.0,9404685,POINT (-120.2658133 46.4063477),PACIFICORP,53077002201.0
94,WBY1Z2C58E,King,Seattle,WA,98119.0,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,0.0,36.0,144233631,POINT (-122.36731 47.6377681),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000.0
95,KNDC4DLC0P,Thurston,Tumwater,WA,98512.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,22.0,240185648,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910.0
96,WMWXP3C07M,King,Seattle,WA,98102.0,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110.0,0.0,43.0,263131907,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007406.0
