,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
336,WAUSPBFF7H,King,Seattle,WA,98102.0,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,0.0,43.0,172500422,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500.0
337,1G1FX6S01H,King,Kirkland,WA,98033.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,0.0,48.0,331975094,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022703.0
338,5YJSA1E25H,King,Renton,WA,98057.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,0.0,37.0,254797854,POINT (-122.2171169 47.4762968),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033026004.0
339,1C4JJXP6XP,King,Tukwila,WA,98188.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,11.0,238869018,POINT (-122.271716 47.452837),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200.0
340,5YJ3E1EA4J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,48.0,235408085,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325.0
341,WBY1Z4C53F,King,Seattle,WA,98122.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,0.0,37.0,118773588,POINT (-122.3128637 47.6104992),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008600.0
342,7SAYGAEE4P,Kitsap,Bainbridge Island,WA,98110.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,23.0,232888001,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090800.0
343,5YJ3E1EB0J,King,Redmond,WA,98052.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,0.0,45.0,345786549,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321.0
344,5YJSA1E23L,King,Sammamish,WA,98075.0,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330.0,0.0,41.0,128678896,POINT (-122.0181135 47.5880568),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224.0
345,KNDC3DLC8P,Kitsap,Bainbridge Island,WA,98110.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,23.0,245707871,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700.0
346,JTMAB3FV7M,King,Kirkland,WA,98033.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42.0,0.0,45.0,186987552,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603.0
347,7FCTGBAA1P,Clark,Vancouver,WA,98686.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,49.0,255505309,POINT (-122.626623 45.711724),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803.0
348,5YJSA1E62N,King,Kirkland,WA,98033.0,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,186190217,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0
349,7SAYGDEE6N,King,Bellevue,WA,98004.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,48.0,194016119,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001.0
350,5YJYGDEF8L,King,Seattle,WA,98107.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291.0,0.0,36.0,112984833,POINT (-122.3788863 47.6702397),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004703.0
351,5YJ3E1EB7N,Kitsap,Olalla,WA,98359.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,26.0,214958390,POINT (-122.5730403 47.4282964),PUGET SOUND ENERGY INC,53035092802.0
352,7SAYGAEEXR,King,Kent,WA,98031.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,47.0,264603895,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029408.0
353,W1KCG4EB9P,King,Seattle,WA,98102.0,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,43.0,224645291,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600.0
354,1C4JJXP69P,King,Tukwila,WA,98188.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,0.0,11.0,237925089,POINT (-122.271716 47.452837),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200.0
355,1FADP5CU6D,Clark,Vancouver,WA,98664.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,0.0,49.0,231868528,POINT (-122.575383 45.620105),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041206.0
356,WDDVP9AB3F,Kitsap,Bainbridge Island,WA,98110.0,2015,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,0.0,23.0,286179974,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090902.0
357,4JGDA6DB7J,King,Seattle,WA,98112.0,2018,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,8.0,0.0,43.0,147146212,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300.0
358,7SAYGDEEXP,King,Bellevue,WA,98006.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,41.0,257659720,POINT (-122.144149 47.560742),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704.0
359,KL8CL6S07G,King,Renton,WA,98058.0,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82.0,0.0,11.0,316444033,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025702.0
360,5YJ3E1EA6P,King,Kirkland,WA,98033.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,48.0,260459748,POINT (-122.1925969 47.676241),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
361,1N4AZ1BV6N,King,Woodinville,WA,98072.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,187549869,POINT (-122.1368031 47.7621254),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906.0
362,3FMTK3SS4N,King,Kirkland,WA,98034.0,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,45.0,226098603,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005.0
363,7SAYGDEE7P,King,Sammamish,WA,98075.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,41.0,256284752,POINT (-122.0181135 47.5880568),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
364,1G1RC6S5XH,Kitsap,Bainbridge Island,WA,98110.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,0.0,23.0,112061148,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090800.0
365,5YJYGAEE8M,Stevens,Nine Mile Falls,WA,99026.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,7.0,156563697,POINT (-117.6098695 47.8047804),NO KNOWN ELECTRIC UTILITY SERVICE,53065951402.0
366,7SAYGDEE7N,Jefferson,Port Hadlock,WA,98339.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,24.0,205729170,POINT (-122.7633713 48.0369567),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950501.0
367,5YJSA1E20K,King,Kirkland,WA,98034.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270.0,0.0,1.0,477598341,POINT (-122.2026532 47.7210518),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203.0
368,7SAYGDEF7R,Clark,Vancouver,WA,98662.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,0.0,17.0,264706599,POINT (-122.579351 45.671668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040709.0
